,Name,Action1,Action2,Action3,Action4,Action5,Action6
0,Awakened Shrub,"Rake: Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) slashing damage.",,,,,
1,Baboon,"Bite: Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.",,,,,
2,Badger,"Bite: Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",,,,,
3,Bat,"Bite: Melee Weapon Attack: +0 to hit, reach 5 ft., one creature. Hit: 1 piercing damage.",,,,,
4,Cat,"Claws: Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",,,,,
5,Commoner,"Club: Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",,,,,
6,Crab,"Claw: Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage.",,,,,
7,Deer,"Bite: Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.",,,,,
8,Eagle,"Talons: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.",,,,,
9,,,,,,,
10,Giant Fire Beetle,"Bite: Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) slashing damage.",,,,,
11,Goat,"Ram: Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage.",,,,,
12,Hawk,"Talons: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",,,,,
13,Homunculus,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must succeed on a DC 10 Constitution saving throw or be Poisoned for 1 minute. If the saving throw fails by 5 or more, the target is instead Poisoned for 5 (1d10) minutes and Unconscious while Poisoned in this way.",,,,,
14,Hyena,"Bite: Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage.",,,,,
15,Jackal,"Bite: Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.",,,,,
16,Lemure,"Fist: Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",,,,,
17,Lizard,"Bite: Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",,,,,
18,Octopus,"Tentacles: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage, and the target is Grappled (escape DC 10). Until this grapple ends, the octopus can't use its tentacles on another target.","Ink Cloud (Recharges after a Short or Long Rest): A 5-foot-radius cloud of ink extends all around the octopus if it is Underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a Bonus Action.",,,,
19,Owl,"Talons: Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",,,,,
20,Quipper,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",,,,,
21,Rat,"Bite: Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",,,,,
22,Raven,"Beak: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",,,,,
23,Scorpion,"Sting: Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must make a DC 9 Constitution saving throw, taking 4 (1d8) poison damage on a failed save, or half as much damage on a successful one.",,,,,
24,,,,,,,
25,Shrieker,"Shriek: When bright light or a creature is within 30 feet of the shrieker, it emits a shriek audible within 300 feet of it. The shrieker continues to shriek until the disturbance moves out of range and for 1d4 of the shrieker's turns afterward",,,,,
26,Spider,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must succeed on a DC 9 Constitution saving throw or take 2 (1d4) poison damage.",,,,,
